graph_label,nodes,components,sequential_mean_time_s,parallel_4_processes_mean_time_s,parallel_4_processes_speedup,parallel_8_processes_mean_time_s,parallel_8_processes_speedup,parallel_12_processes_mean_time_s,parallel_12_processes_speedup,parallel_16_processes_mean_time_s,parallel_16_processes_speedup,distributed_2_workers_mean_time_s,distributed_2_workers_speedup,distributed_3_workers_mean_time_s,distributed_3_workers_speedup,distributed_5_workers_mean_time_s,distributed_5_workers_speedup,distributed_10_workers_mean_time_s,distributed_10_workers_speedup
one part tiny & sparse,50,1,0.001237901758574051,3.991111104066173e-05,31.01646950677138,3.3860000096158024e-05,36.55941391194832,4.504666657238785e-05,27.480429802387302,4.10200000310902e-05,30.17800481803537,0.008875835511005587,0.13946875841030576,0.009555932799973259,0.1295427442287492,0.008817179332901206,0.1403965726266715,0.008604166067218304,0.14387236937353307
one part tiny & medium,50,1,0.001141803119599495,5.6704444836618175e-05,20.13604264867346,4.8722222305109934e-05,23.434955664568363,4.93688879133616e-05,23.1279894658204,6.105555557446172e-05,18.70105199856846,0.0033431904443811315,0.3415309832314557,0.004437506488870389,0.25730736900627094,0.00429974022214689,0.26555165210175996,0.0039869240892585365,0.28638697252242906
one part tiny & dense,50,1,0.001401352911070338,8.207777702611768e-05,17.073475450296595,9.713333339378652e-05,14.427106144799314,8.369111164938659e-05,16.744345766861482,9.873111114049809e-05,14.193630506965123,0.007629569288272049,0.1836739215704426,0.007723348266674495,0.18144370325976894,0.0072308961335996475,0.19380072472050897,0.007066929376904025,0.198297285331619
one part tiny & grid,50,1,0.000986848725146198,3.5179999637572713e-05,28.051413738283,3.6326666789439815e-05,27.165958574351656,3.113999943404148e-05,31.690711081625754,4.7120000029584235e-05,20.943309094367706,0.006640841399591106,0.1486029654626236,0.005814730999979171,0.16971528436134586,0.0062725228650379,0.1573288366387223,0.005721289198845625,0.17248712499017055
one part small & sparse,500,1,0.0001499365277936704,0.0003641533337132488,0.41174009383568455,0.000438297778277451,0.3420882678961646,0.00039956444444315923,0.3752499249592262,0.00043558222227046723,0.34422095330734115,0.0008039496887552862,0.1864998890985447,0.0010998957333362746,0.1363188557326914,0.0008132565333249254,0.18436559886050782,0.0008369577346861156,0.17914468267612238
one part small & medium,500,1,0.0002102426693208296,0.0005506844447356545,0.3817842892252977,0.000522311110883796,0.40252383098854755,0.0006035866652382537,0.34832225665197647,0.0006233111110759637,0.3372997297575962,0.0010278565558514351,0.20454475687677354,0.001237663355570678,0.16987064242835903,0.001047588155294458,0.20069210238610824,0.0010319477561602575,0.20373383057986874
one part small & dense,500,1,0.00029840590848695885,0.0007934022224314201,0.376109242009027,0.0009122822225132647,0.3270982390349276,0.000791097777417033,0.37720483738592525,0.0010156177778349552,0.2938171377061616,0.001440338423061702,0.20717763527591154,0.0014996026888790463,0.19898997961254483,0.0012599292893557706,0.23684337764664581,0.0012626474228454754,0.23633351883337125
one part small & grid,500,1,0.00012727623270620826,0.000362319998384919,0.35128127973491935,0.0003129066661737549,0.40675462195341233,0.00031240666770221046,0.407405621788871,0.00042794000006930825,0.29741606927512004,0.0007814764661209969,0.1628663667096303,0.0010077924666802573,0.12629210568071178,0.0007909333997910532,0.16091902648166304,0.0007793836014267678,0.16330370881965156
one part medium & sparse,5000,1.2666666666666666,0.0015142390583030697,0.014623251110444673,0.10355009613570287,0.015958631110940282,0.0948852722878592,0.017628028888915046,0.08589951082138637,0.024718022222244448,0.06126052661852384,0.005831467200348723,0.2596669082203734,0.006368417333336159,0.23777321413542168,0.0057633669333881695,0.2627351469730001,0.005738847177255795,0.2638577072245979
one part medium & medium,5000,1,0.0024708295499496873,0.004791573333204724,0.515661428538992,0.004793733333644923,0.5154290775016865,0.004984784444160242,0.495674301994002,0.005641482222229873,0.4379752434942635,0.008419142889356914,0.29347756445293194,0.008887764155537702,0.27800350084786923,0.008230908777881673,0.30018915488279607,0.0083190618002037,0.2970081974735645
